NGC67	<b>NGC67</b>: GALXY (Elliptical) in Andromeda<br><b>R.A.:</b> 0 18.2<br><b>Dec.:</b> +30 4<br><b>Magnitude:</b> 14.2<br><b>Surface brightness:</b> 13.9<br><b>Size:</b>  0.3 m x  0.2 m<br><b>Dreyer code:</b> eF; vS; R
NGC67A	<b>NGC67A</b>: GALXY (E5) in Andromeda<br><b>R.A.:</b> 0 18.2<br><b>Dec.:</b> +30 3<br><b>Magnitude:</b> 15.7<br><b>Surface brightness:</b> 15.7<br><b>Size:</b>  0.4 m x  0.2 m
NGC68	<b>NGC68</b>: GALXY (E-SO) in Andromeda<br><b>R.A.:</b> 0 18.3<br><b>Dec.:</b> +30 4<br><b>Magnitude:</b> 12.9<br><b>Surface brightness:</b> 14.2<br><b>Size:</b>  1.2 m x  1.1 m<br><b>Dreyer code:</b> eF; L; 3 or 4 st+neb<br><b>Notes:</b> H V 16; In compact group
NGC69	<b>NGC69</b>: GALXY (E-SO Bar) in Andromeda<br><b>R.A.:</b> 0 18.3<br><b>Dec.:</b> +30 2<br><b>Magnitude:</b> 14.8<br><b>Surface brightness:</b> 14.2<br><b>Size:</b>  0.5 m x  0.3 m<br><b>Dreyer code:</b> eF; vS; R
NGC70	<b>NGC70</b>: GALXY (Sbc) in Andromeda<br><b>R.A.:</b> 0 18.4<br><b>Dec.:</b> +30 5<br><b>Magnitude:</b> 13.5<br><b>Surface brightness:</b> 13.9<br><b>Size:</b>  1.6 m x  1.4 m<br><b>Dreyer code:</b> eF; vS; R; bet 2 F st<br><b>Notes:</b> In compact group w NGC 68 and 71
NGC71	<b>NGC71</b>: GALXY (S0 Pec) in Andromeda<br><b>R.A.:</b> 0 18.4<br><b>Dec.:</b> +30 4<br><b>Magnitude:</b> 13.2<br><b>Surface brightness:</b> 13.4<br><b>Size:</b>  1.5 m x  1.2 m<br><b>Dreyer code:</b> eF; vS; R<br><b>Notes:</b> In compact group
NGC72	<b>NGC72</b>: GALXY (SBab) in Andromeda<br><b>R.A.:</b> 0 18.5<br><b>Dec.:</b> +30 2<br><b>Magnitude:</b> 13.5<br><b>Surface brightness:</b> 13.3<br><b>Size:</b>  1.1 m x  0.9 m<br><b>Dreyer code:</b> eF; vS; R<br><b>Notes:</b> In compact group
NGC72A	<b>NGC72A</b>: GALXY (Elliptical) in Andromeda<br><b>R.A.:</b> 0 18.6<br><b>Dec.:</b> +30 2<br><b>Magnitude:</b> 14.7<br><b>Surface brightness:</b> 12<br><b>Size:</b>  0.3 m x  0.3 m<br><b>Notes:</b> 1' south of NGC 72; compact
NGC74	<b>NGC74</b>: GALXY (Sb) in Andromeda<br><b>R.A.:</b> 0 18.8<br><b>Dec.:</b> +30 4<br><b>Magnitude:</b> 16.0<br><b>Size:</b>  0.8 m x  0.3 m<br><b>Dreyer code:</b> eF; S; E; last of 6
NGC76	<b>NGC76</b>: GALXY (Compact) in Andromeda<br><b>R.A.:</b> 0 19.6<br><b>Dec.:</b> +29 56<br><b>Magnitude:</b> 13.0<br><b>Surface brightness:</b> 12.7<br><b>Size:</b>  1 m x  0.9 m<br><b>Dreyer code:</b> vF; S; bM<br><b>Notes:</b> compact; complex nucl region
NGC79	<b>NGC79</b>: GALXY (E-SO) in Andromeda<br><b>R.A.:</b> 0 21.0<br><b>Dec.:</b> +22 34<br><b>Magnitude:</b> 15.0<br><b>Size:</b>  0.5 m x  0.5 m<br><b>Dreyer code:</b> vF; S; vlbM<br><b>Notes:</b> Compact
NGC80	<b>NGC80</b>: GALXY (E-SO) in Andromeda<br><b>R.A.:</b> 0 21.2<br><b>Dec.:</b> +22 21<br><b>Magnitude:</b> 12.1<br><b>Surface brightness:</b> 13.2<br><b>Size:</b>  2.2 m x  2 m<br><b>Dreyer code:</b> F; S; R; psbM<br><b>Notes:</b> Brightest in group
NGC81	<b>NGC81</b>: GALXY (S) in Andromeda<br><b>R.A.:</b> 0 21.2<br><b>Dec.:</b> +22 23<br><b>Magnitude:</b> 16.4<br><b>Size:</b>  0.2 m x  0.1 m<br><b>Dreyer code:</b> eeF; sp NGC 83
NGC82	<b>NGC82</b>: 1STAR in Andromeda<br><b>R.A.:</b> 0 21.3<br><b>Dec.:</b> +22 28<br><b>Magnitude:</b> 14.0<br><b>Dreyer code:</b> eF; stellar
NGC83	<b>NGC83</b>: GALXY (E0) in Andromeda<br><b>R.A.:</b> 0 21.4<br><b>Dec.:</b> +22 26<br><b>Magnitude:</b> 12.5<br><b>Surface brightness:</b> 13.4<br><b>Size:</b>  1.3 m x  1.2 m<br><b>Dreyer code:</b> E; biN; 3 B st nr<br><b>Notes:</b> NGC 80 group
NGC84	<b>NGC84</b>: 1STAR in Andromeda<br><b>R.A.:</b> 0 21.4<br><b>Dec.:</b> +22 37<br><b>Magnitude:</b> 17.0<br><b>Dreyer code:</b> eF; st & neb
NGC85A	<b>NGC85A</b>: GALXY (S) in Andromeda<br><b>R.A.:</b> 0 21.4<br><b>Dec.:</b> +22 31<br><b>Magnitude:</b> 15.5<br><b>Size:</b>  0.5 m x  0.5 m<br><b>Dreyer code:</b> eeF; cL; R
NGC85B	<b>NGC85B</b>: GALXY (Sbc) in Andromeda<br><b>R.A.:</b> 0 21.5<br><b>Dec.:</b> +22 30<br><b>Magnitude:</b> 15.5<br><b>Size:</b>  0.9 m x  0.3 m
NGC86	<b>NGC86</b>: GALXY (S pec) in Andromeda<br><b>R.A.:</b> 0 21.5<br><b>Dec.:</b> +22 33<br><b>Magnitude:</b> 15.0<br><b>Size:</b>  0.7 m x  0.3 m<br><b>Dreyer code:</b> eF; vS; lbM
NGC90	<b>NGC90</b>: GALXY (SBc) in Andromeda<br><b>R.A.:</b> 0 21.9<br><b>Dec.:</b> +22 24<br><b>Magnitude:</b> 14.5<br><b>Size:</b>  1.9 m x  0.8 m<br><b>Dreyer code:</b> vF; lE
NGC91	<b>NGC91</b>: 1STAR in Andromeda<br><b>R.A.:</b> 0 21.9<br><b>Dec.:</b> +22 22<br><b>Magnitude:</b> 13.7<br><b>Surface brightness:</b> 14<br><b>Dreyer code:</b> vF; vS; * 13 sp<br><b>Notes:</b> Distorted; NGC 80 group
NGC93	<b>NGC93</b>: GALXY (Sb) in Andromeda<br><b>R.A.:</b> 0 22.1<br><b>Dec.:</b> +22 25<br><b>Magnitude:</b> 13.3<br><b>Surface brightness:</b> 12.9<br><b>Size:</b>  1.4 m x  0.6 m<br><b>Dreyer code:</b> vF; vS<br><b>Notes:</b> Part of NGC 80 group
NGC94	<b>NGC94</b>: GALXY (S) in Andromeda<br><b>R.A.:</b> 0 22.2<br><b>Dec.:</b> +22 29<br><b>Magnitude:</b> 15.5<br><b>Size:</b>  0.4 m x  0.2 m<br><b>Dreyer code:</b> eF; vS<br><b>Notes:</b> Northern of 2
NGC96	<b>NGC96</b>: GALXY (SO) in Andromeda<br><b>R.A.:</b> 0 22.3<br><b>Dec.:</b> +22 33<br><b>Magnitude:</b> 17.0<br><b>Size:</b>  0.7 m x  0.7 m<br><b>Dreyer code:</b> vF; S; vlbM
NGC97	<b>NGC97</b>: GALXY (Elliptical) in Andromeda<br><b>R.A.:</b> 0 22.5<br><b>Dec.:</b> +29 45<br><b>Magnitude:</b> 12.3<br><b>Surface brightness:</b> 13<br><b>Size:</b>  1.5 m x  1.3 m<br><b>Dreyer code:</b> F; vS; R; gbM<br><b>Notes:</b> Compact
NGC108	<b>NGC108</b>: GALXY (SBO-a) in Andromeda<br><b>R.A.:</b> 0 26.0<br><b>Dec.:</b> +29 13<br><b>Magnitude:</b> 12.1<br><b>Surface brightness:</b> 13.3<br><b>Size:</b>  2 m x  1.6 m<br><b>Dreyer code:</b> pF; pL; R; pslbM<br><b>Notes:</b> H III 148
NGC109	<b>NGC109</b>: GALXY (SBa) in Andromeda<br><b>R.A.:</b> 0 26.2<br><b>Dec.:</b> +21 48<br><b>Magnitude:</b> 13.7<br><b>Surface brightness:</b> 13.8<br><b>Size:</b>  1.1 m x  1 m<br><b>Dreyer code:</b> vF; S; 3 st nr<br><b>Notes:</b> f or 2
NGC112	<b>NGC112</b>: GALXY (Sc) in Andromeda<br><b>R.A.:</b> 0 26.8<br><b>Dec.:</b> +31 42<br><b>Magnitude:</b> 13.5<br><b>Surface brightness:</b> 12.7<br><b>Size:</b>  1 m x  0.5 m<br><b>Dreyer code:</b> eF; vS; R
NGC140	<b>NGC140</b>: GALXY (SBc Ring) in Andromeda<br><b>R.A.:</b> 0 31.3<br><b>Dec.:</b> +30 47<br><b>Magnitude:</b> 13.2<br><b>Surface brightness:</b> 13.8<br><b>Size:</b>  1.5 m x  1.2 m<br><b>Dreyer code:</b> vF; S; R; gbM
NGC149	<b>NGC149</b>: GALXY (SO) in Andromeda<br><b>R.A.:</b> 0 33.8<br><b>Dec.:</b> +30 43<br><b>Magnitude:</b> 13.7<br><b>Surface brightness:</b> 13.5<br><b>Size:</b>  1.2 m x  0.7 m<br><b>Dreyer code:</b> vF; vS; R; gbM*14; *12 sp<br><b>Notes:</b> Compact
AND III	<b>AND III</b>: GALXY (dE2) in Andromeda<br><b>R.A.:</b> 0 35.4<br><b>Dec.:</b> +36 31<br><b>Magnitude:</b> 15.0<br><b>Size:</b>  2.0 m x  2.0 m<br><b>Notes:</b> Andromeda Dwarf; Member Local Group
NGC160	<b>NGC160</b>: GALXY (Sa Ring) in Andromeda<br><b>R.A.:</b> 0 36.1<br><b>Dec.:</b> +23 57<br><b>Magnitude:</b> 12.6<br><b>Surface brightness:</b> 14.3<br><b>Size:</b>  2.9 m x  1.6 m<br><b>Dreyer code:</b> vF; vS; stell; *8; 17 degrees; 4'<br><b>Notes:</b> H III 476; UGC 356
NGC162	<b>NGC162</b>: 1STAR in Andromeda<br><b>R.A.:</b> 0 36.2<br><b>Dec.:</b> +23 58<br><b>Dreyer code:</b> eF; stellar; NGC 160 sp
NGC169	<b>NGC169</b>: GALXY (Sb) in Andromeda<br><b>R.A.:</b> 0 36.9<br><b>Dec.:</b> +23 59<br><b>Magnitude:</b> 13.2<br><b>Size:</b>  1.8 m x  0.8 m<br><b>Dreyer code:</b> F; pL; D or biN; *6 nf 4'<br><b>Notes:</b> Contact P w IC 1559
NGC181	<b>NGC181</b>: GALXY (S pec) in Andromeda<br><b>R.A.:</b> 0 38.4<br><b>Dec.:</b> +29 28<br><b>Magnitude:</b> 15.5<br><b>Size:</b>  0.7 m x  0.2 m<br><b>Dreyer code:</b> eF; eS; irr; vF * att
NGC183	<b>NGC183</b>: GALXY (Elliptical) in Andromeda<br><b>R.A.:</b> 0 38.5<br><b>Dec.:</b> +29 31<br><b>Magnitude:</b> 12.7<br><b>Surface brightness:</b> 14.1<br><b>Size:</b>  2.1 m x  1.6 m<br><b>Dreyer code:</b> pF; vS; R; gbM
NGC184	<b>NGC184</b>: GALXY (SO) in Andromeda<br><b>R.A.:</b> 0 38.6<br><b>Dec.:</b> +29 27<br><b>Magnitude:</b> 14.6<br><b>Surface brightness:</b> 12.3<br><b>Size:</b>  0.7 m x  0.2 m<br><b>Dreyer code:</b> eF; eS
NGC205	<b>NGC205</b>: GALXY (SA0) in Andromeda<br><b>R.A.:</b> 0 40.4<br><b>Dec.:</b> +41 41<br><b>Magnitude:</b>  8.1<br><b>Surface brightness:</b> 14<br><b>Size:</b>  19.5 m x  11.5 m<br><b>Other catalogs:</b>  HM<br><b>Dreyer code:</b> vB; vL; mE 165 degrees; vgvmbM<br><b>Notes:</b> M31 Companion; UGC 426; H V 18; Member Local Group
NGC206	<b>NGC206</b>: G+C+N (Pec) in Andromeda<br><b>R.A.:</b> 0 40.5<br><b>Dec.:</b> +40 44<br><b>Magnitude:</b> 12.8<br><b>Size:</b>  1.8 m x  0.6 m<br><b>Dreyer code:</b> vF; vL; mE 0 degrees<br><b>Notes:</b> H V 36; A star cloud in the south end of Andromeda Galaxy
NGC214	<b>NGC214</b>: GALXY (SBc) in Andromeda<br><b>R.A.:</b> 0 41.5<br><b>Dec.:</b> +25 30<br><b>Magnitude:</b> 12.3<br><b>Surface brightness:</b> 13.1<br><b>Size:</b>  1.9 m x  1.5 m<br><b>Dreyer code:</b> pF; pS; gvlbM; R<br><b>Notes:</b> H II 209; UGC 438
NGC218	<b>NGC218</b>: GALXY (S pec) in Andromeda<br><b>R.A.:</b> 0 41.7<br><b>Dec.:</b> +36 22<br><b>Magnitude:</b> 14.0<br><b>Surface brightness:</b> 14.1<br><b>Size:</b>  1.1 m x  1.1 m<br><b>Dreyer code:</b> eF; vS; R; gbM
